Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8038379530916845,0.6475903614457831,0.5748663101604278,0.6090651558073654,0.8356727976766699
Random Forest,0.7938877043354655,0.64,0.5133689839572193,0.56973293768546,0.8306979308488336
XGBoost,0.7846481876332623,0.6099071207430341,0.5267379679144385,0.5652797704447633,0.8227826640644816
